,activation,batch_size,dropout_rate,patience,epoch,learning_rate,model_name,kernel,filters,nodes,mean,std
103,relu,64,0.3,10,100,0.005,CNN-LSTM,3,64,128,0.8966259207529333,0.03921049333452193
104,relu,32,0.5,10,100,0.001,CNN-LSTM,6,48,128,0.8965869980811899,0.05974895804033111
105,relu,32,0.5,15,100,0.005,CNN-LSTM,6,64,64,0.8962928189721426,0.04323559516958324
106,relu,32,0.3,10,100,0.001,CNN-LSTM,3,48,64,0.8962399741064313,0.054908736891748286
107,relu,32,0.3,10,100,0.005,CNN-LSTM,6,48,64,0.8960984529497539,0.05109090219660338
108,relu,32,0.3,10,100,0.001,CNN-LSTM,3,64,128,0.8956854143327945,0.05184365423481743
109,relu,64,0.3,10,100,0.005,CNN-LSTM,6,48,128,0.8956083647616199,0.06252617812359255
110,relu,64,0.5,10,100,0.001,CNN-LSTM,3,64,64,0.895188307215472,0.06186309307809628
111,relu,64,0.5,15,100,0.005,CNN-LSTM,3,48,128,0.894839458811662,0.0378405410012005
112,relu,32,0.3,15,100,0.001,CNN-LSTM,6,48,128,0.894474571375833,0.0557869563205186
113,relu,64,0.5,15,100,0.001,CNN-LSTM,3,48,128,0.8935012624136048,0.04513399091250851
114,relu,64,0.3,10,100,0.005,CNN-LSTM,3,48,128,0.8933095806722589,0.05992965039027591
115,relu,32,0.5,10,100,0.005,CNN-LSTM,3,48,64,0.8930820246263893,0.0353734594903662
116,relu,32,0.5,10,100,0.005,CNN-LSTM,6,64,128,0.8925359179288368,0.059876733558290623
117,relu,64,0.3,15,100,0.005,CNN-LSTM,6,64,64,0.8921801290582494,0.05178909640399306
118,relu,64,0.3,15,100,0.005,CNN-LSTM,6,48,64,0.8915909480804872,0.06086689381133071
119,relu,32,0.5,10,100,0.005,CNN-LSTM,3,64,64,0.8911724057276865,0.05502493338791169
120,relu,64,0.5,15,100,0.001,CNN-LSTM,3,48,64,0.8903372267039137,0.04370395059006114
121,relu,64,0.3,15,100,0.001,CNN-LSTM,6,64,128,0.8900102060387628,0.05078127821155412
122,relu,64,0.5,10,100,0.005,CNN-LSTM,6,48,64,0.889315986176293,0.06143551819817202
123,relu,32,0.5,15,100,0.005,CNN-LSTM,3,48,128,0.8884587391709802,0.05117293649171525
124,relu,32,0.5,15,100,0.001,CNN-LSTM,6,64,128,0.888317748367727,0.06526232735666912
125,relu,32,0.5,15,100,0.005,CNN-LSTM,3,64,64,0.8862990281935008,0.0525647427549505
126,relu,32,0.5,15,100,0.001,CNN-LSTM,6,48,128,0.8838930429675301,0.04678993958131444
127,relu,32,0.5,10,100,0.005,CNN-LSTM,6,48,128,0.8825165551325604,0.05141942259883797
