,activation,batch_size,patience,epoch,learning_rate,model_name,filters,mean,std
61,relu,128,3,100,0.005,Multi-head-CNN,64,0.9084500983712172,0.015377708337278407
62,relu,256,5,100,0.005,Multi-head-CNN,32,0.9081811742480005,0.014611423283317247
63,relu,256,5,100,0.005,Multi-head-CNN,128,0.908136641142344,0.003531890015706935
64,relu,128,5,100,0.001,Multi-head-CNN,64,0.9080202733847308,0.01886781356494
65,relu,64,10,100,0.005,Multi-head-CNN,128,0.9077097675142397,0.0075637567869132
66,relu,64,5,100,0.005,Multi-head-CNN,32,0.9077028959638939,0.02134462403862378
67,relu,32,10,100,0.005,Multi-head-CNN,32,0.9075088455114847,0.008851378014312052
68,relu,128,5,100,0.01,Multi-head-CNN,128,0.9074323674986303,0.005859862062847683
69,relu,64,5,100,0.001,Multi-head-CNN,32,0.9073209410359423,0.00532198617144017
70,relu,64,3,100,0.005,Multi-head-CNN,64,0.9072774234778035,0.010753408398441399
71,relu,256,3,100,0.01,Multi-head-CNN,64,0.9065012681932001,0.01503942634028088
72,relu,256,5,100,0.01,Multi-head-CNN,64,0.9055027031233388,0.014999330870541065
73,relu,64,10,100,0.01,Multi-head-CNN,32,0.9052693329448239,0.012606202503820232
74,relu,32,3,100,0.001,Multi-head-CNN,64,0.9048637261012019,0.010972556659646138
75,relu,128,10,100,0.01,Multi-head-CNN,32,0.9044467511081512,0.009843146956499918
76,relu,128,3,100,0.005,Multi-head-CNN,32,0.9044322963666737,0.013571752285998788
77,relu,64,10,100,0.001,Multi-head-CNN,128,0.9042691996832972,0.005670336526706124
78,relu,256,5,100,0.01,Multi-head-CNN,32,0.9036857012600742,0.0025290082309285477
79,relu,64,3,100,0.001,Multi-head-CNN,128,0.9034635175872294,0.016155631561444804
80,relu,128,3,100,0.001,Multi-head-CNN,32,0.902406298318153,0.014178802981809251
81,relu,256,3,100,0.005,Multi-head-CNN,128,0.902324452463216,0.008106338827716707
82,relu,32,5,100,0.005,Multi-head-CNN,32,0.9016824374226368,0.008087573262948707
83,relu,128,5,100,0.005,Multi-head-CNN,64,0.9016546909437121,0.014349456960267714
84,relu,128,3,100,0.01,Multi-head-CNN,32,0.9013684259959862,0.0049977926496681865
85,relu,256,3,100,0.01,Multi-head-CNN,128,0.9010969617040933,0.01193277971680988
86,relu,256,10,100,0.01,Multi-head-CNN,64,0.9001454408888968,0.011097506760044965
87,relu,128,5,100,0.005,Multi-head-CNN,32,0.89920881553804,0.010411326639171053
88,relu,64,5,100,0.01,Multi-head-CNN,64,0.8981354613073697,0.0020449011212020345
89,relu,128,5,100,0.001,Multi-head-CNN,128,0.8980091223458707,0.022529028859149373
90,relu,128,10,100,0.005,Multi-head-CNN,128,0.8979932919345313,0.014062354138994631
91,relu,64,5,100,0.01,Multi-head-CNN,32,0.8977473646140425,0.012387072605785681
92,relu,32,5,100,0.01,Multi-head-CNN,128,0.8949744572066036,0.033694882247127675
93,relu,128,3,100,0.01,Multi-head-CNN,64,0.894560418738587,0.02579172413088676
94,relu,32,3,100,0.01,Multi-head-CNN,32,0.8935240456397505,0.020845934393052913
95,relu,32,10,100,0.01,Multi-head-CNN,64,0.8935216043209756,0.020822294058540056
96,relu,32,3,100,0.01,Multi-head-CNN,128,0.8926721980689902,0.019688223120902175
97,relu,64,3,100,0.005,Multi-head-CNN,32,0.8922706594832146,0.008084144512932026
98,relu,32,3,100,0.01,Multi-head-CNN,64,0.8903864031687384,0.015570180903852817
99,relu,64,5,100,0.001,Multi-head-CNN,128,0.88997876629742,0.021829198028187898
100,relu,128,5,100,0.01,Multi-head-CNN,64,0.8888684379605044,0.008146306308439379
101,relu,64,3,100,0.01,Multi-head-CNN,32,0.8848575596044651,0.01945976385806854
102,relu,32,5,100,0.01,Multi-head-CNN,32,0.8779225671553671,0.008711013983725003
103,relu,32,10,100,0.01,Multi-head-CNN,32,0.877023939151106,0.04235891819368894
104,relu,32,5,100,0.01,Multi-head-CNN,64,0.8647504741081926,0.0856579597442954
105,relu,64,10,100,0.01,Multi-head-CNN,64,0.8367641635983368,0.09190988911065104
106,relu,64,10,100,0.01,Multi-head-CNN,128,0.6805569712332465,0.29809738757276294
107,relu,32,10,100,0.01,Multi-head-CNN,128,0.6117005703364103,0.26216794073671795
