,activation,batch_size,dropout_rate,patience,epoch,learning_rate,model_name,kernel,filters,nodes,mean,std
73,relu,32,0.3,10,100,0.001,ConvLSTM,3,64,128,0.9050924003866193,0.04629782462245631
74,relu,64,0.3,10,100,0.005,ConvLSTM,6,64,64,0.9050041641969191,0.047330316918635026
75,relu,32,0.5,10,100,0.005,ConvLSTM,3,64,128,0.9049716892193598,0.04198468588637376
76,relu,64,0.3,15,100,0.005,ConvLSTM,6,64,64,0.9048994877244867,0.050221766787756805
77,relu,64,0.5,10,100,0.005,ConvLSTM,6,48,64,0.9044435352391267,0.03576959762374503
78,relu,64,0.5,10,100,0.005,ConvLSTM,6,64,128,0.9042613086562593,0.049555265698556845
79,relu,64,0.5,15,100,0.001,ConvLSTM,3,48,64,0.904023170186748,0.04534370685335352
80,relu,32,0.3,15,100,0.005,ConvLSTM,3,48,128,0.903891951303726,0.04596864914635652
81,relu,32,0.5,10,100,0.001,ConvLSTM,3,64,128,0.9036891428496592,0.03936614601932866
82,relu,32,0.3,10,100,0.001,ConvLSTM,6,64,64,0.9036744905507256,0.052865533876062985
83,relu,64,0.3,10,100,0.001,ConvLSTM,6,48,64,0.9032748220218014,0.04459025869070783
84,relu,32,0.5,10,100,0.001,ConvLSTM,3,64,64,0.9025596339920419,0.04811043089173173
85,relu,64,0.5,15,100,0.005,ConvLSTM,3,64,128,0.9024213581932296,0.047240855293450956
86,relu,32,0.5,15,100,0.005,ConvLSTM,3,48,128,0.9022724962702682,0.05786949881014422
87,relu,64,0.3,10,100,0.005,ConvLSTM,3,64,64,0.9021931884754013,0.039150287096379535
88,relu,32,0.3,10,100,0.005,ConvLSTM,3,48,128,0.9021006229282789,0.04754278968221472
89,relu,32,0.5,10,100,0.001,ConvLSTM,6,48,128,0.9018184940223642,0.042969756559989136
90,relu,32,0.3,10,100,0.001,ConvLSTM,3,48,64,0.9016904052523598,0.04689088178734587
91,relu,32,0.3,10,100,0.001,ConvLSTM,6,48,64,0.9016826574577154,0.04306910306572466
92,relu,64,0.3,15,100,0.001,ConvLSTM,3,48,64,0.9014105955293713,0.041497431921082156
93,relu,32,0.3,15,100,0.005,ConvLSTM,6,64,128,0.901338650447577,0.04882567284117778
94,relu,64,0.3,15,100,0.005,ConvLSTM,3,48,64,0.9008711192069502,0.050367698722985785
95,relu,64,0.5,15,100,0.005,ConvLSTM,3,64,64,0.900786331876304,0.060175522637999405
96,relu,32,0.5,10,100,0.001,ConvLSTM,3,48,128,0.9006803906691833,0.0482312861089007
97,relu,32,0.3,15,100,0.001,ConvLSTM,3,64,64,0.9006228705187567,0.04975755666824798
98,relu,32,0.3,15,100,0.005,ConvLSTM,6,48,128,0.9004833215251098,0.03825247947468194
99,relu,64,0.3,15,100,0.005,ConvLSTM,3,64,64,0.9001881155841615,0.048782251268019126
100,relu,32,0.5,15,100,0.005,ConvLSTM,3,64,64,0.8999410914521768,0.04849035947058512
101,relu,64,0.5,10,100,0.005,ConvLSTM,3,48,64,0.8998860749845422,0.04906624169146381
102,relu,32,0.3,15,100,0.001,ConvLSTM,3,48,128,0.8998770614742396,0.04947364347477925
103,relu,64,0.3,15,100,0.001,ConvLSTM,3,64,128,0.8995276473618941,0.05011959460268666
104,relu,32,0.3,10,100,0.001,ConvLSTM,3,64,64,0.8989681621704146,0.02767799496251041
105,relu,64,0.5,10,100,0.001,ConvLSTM,3,64,128,0.8989464230214846,0.04054454897108214
106,relu,64,0.3,10,100,0.005,ConvLSTM,3,64,128,0.8979108318528486,0.034755008437976694
107,relu,64,0.5,15,100,0.005,ConvLSTM,6,64,64,0.8977268385934917,0.04493212429445385
108,relu,64,0.5,15,100,0.005,ConvLSTM,6,48,128,0.8976439431861978,0.042598390829393575
109,relu,64,0.5,10,100,0.005,ConvLSTM,3,48,128,0.896551457067287,0.057833946440525676
110,relu,64,0.5,10,100,0.001,ConvLSTM,6,64,128,0.8963668711693744,0.05406518574459051
111,relu,64,0.5,15,100,0.001,ConvLSTM,3,64,64,0.8959898066279643,0.05091102210094124
112,relu,32,0.3,15,100,0.005,ConvLSTM,3,48,64,0.8958805303711038,0.04805942309179953
113,relu,64,0.3,15,100,0.001,ConvLSTM,3,48,128,0.8955373027262965,0.05192353907501072
114,relu,64,0.3,15,100,0.005,ConvLSTM,3,64,128,0.8944280986035651,0.05013527641019614
115,relu,32,0.3,15,100,0.001,ConvLSTM,3,48,64,0.8943467459307337,0.05165993535134992
116,relu,64,0.3,10,100,0.001,ConvLSTM,6,64,64,0.8936034708594663,0.03695796233342529
117,relu,64,0.3,10,100,0.001,ConvLSTM,3,64,128,0.8934503964910704,0.05272514201622921
118,relu,32,0.3,15,100,0.005,ConvLSTM,3,64,128,0.8932614188651176,0.047194846102715945
119,relu,32,0.3,15,100,0.005,ConvLSTM,3,64,64,0.8918041799118301,0.04897607343324615
120,relu,64,0.5,15,100,0.001,ConvLSTM,3,64,128,0.8917294930982884,0.05502731901161031
121,relu,64,0.5,10,100,0.001,ConvLSTM,3,48,128,0.8894625615936376,0.06057633411141271
122,relu,64,0.3,15,100,0.005,ConvLSTM,3,48,128,0.888651018612326,0.03957087162708495
123,relu,64,0.5,15,100,0.001,ConvLSTM,3,48,128,0.8864403175156337,0.029304202812052333
124,relu,64,0.3,15,100,0.001,ConvLSTM,3,64,64,0.8848896600684208,0.05198922574344489
125,relu,32,0.3,10,100,0.005,ConvLSTM,6,64,64,0.8848821730328869,0.03132407693226946
126,relu,64,0.3,10,100,0.001,ConvLSTM,6,64,128,0.8847733065260069,0.05645556757683127
127,relu,32,0.5,10,100,0.005,ConvLSTM,6,64,128,0.8509388247602253,0.07563878980925609
