,activation,batch_size,patience,epoch,learning_rate,model_name,kernel,filters,mean,std
85,relu,256,10,100,0.001,CNN,6,32,0.9122093043320683,0.014768243512128921
86,relu,64,10,100,0.01,CNN,6,64,0.9122068768112287,0.01292691608467345
87,relu,128,5,100,0.005,CNN,3,128,0.912122515402581,0.016145202455210457
88,relu,128,3,100,0.005,CNN,3,64,0.9120499601182614,0.01544017211207233
89,relu,64,5,100,0.001,CNN,12,32,0.9119866896622364,0.012749673254656504
90,relu,32,10,100,0.001,CNN,3,128,0.9115623900738435,0.009973364387041038
91,relu,64,5,100,0.001,CNN,12,64,0.9115544543942385,0.01722275235603528
92,relu,64,5,100,0.01,CNN,6,64,0.9114253411455575,0.010284154209194988
93,relu,128,5,100,0.001,CNN,12,128,0.9113819721402016,0.0017355915954368937
94,relu,128,3,100,0.001,CNN,6,128,0.9113305514276923,0.009594593182932862
95,relu,32,10,100,0.005,CNN,3,32,0.911284327793353,0.008201990567173419
96,relu,256,3,100,0.001,CNN,6,128,0.9112525312287261,0.012567436144789194
97,relu,64,3,100,0.005,CNN,6,128,0.9109597052030063,0.00958404161347988
98,relu,32,5,100,0.001,CNN,12,32,0.9109520603565303,0.010365153072243935
99,relu,128,5,100,0.001,CNN,6,64,0.9109377793679235,0.01501170348204061
100,relu,32,10,100,0.005,CNN,3,64,0.9108905436180629,0.002720825779840091
101,relu,32,5,100,0.001,CNN,12,64,0.9108376535078442,0.005314890689350465
102,relu,128,5,100,0.001,CNN,6,128,0.9108329834369986,0.01487913144268211
103,relu,64,10,100,0.005,CNN,3,128,0.9106999971078241,0.004067463223219097
104,relu,256,3,100,0.005,CNN,12,32,0.9105511305049526,0.01910590312980798
105,relu,32,3,100,0.005,CNN,12,64,0.9101558556129113,0.0036505560902589376
106,relu,32,3,100,0.001,CNN,6,32,0.910134056656828,0.018150762818520134
107,relu,32,5,100,0.001,CNN,6,32,0.9099429625737296,0.012898090943734562
108,relu,64,3,100,0.001,CNN,3,32,0.9099112340966888,0.00931398694468682
109,relu,64,3,100,0.001,CNN,12,128,0.9098095774769271,0.010688231939182802
110,relu,64,3,100,0.001,CNN,6,64,0.9097373592399354,0.008912492713943827
111,relu,256,3,100,0.01,CNN,3,32,0.9096080845900262,0.008202091576876224
112,relu,256,3,100,0.001,CNN,12,64,0.9095888850998577,0.01988316578101819
113,relu,128,10,100,0.01,CNN,6,32,0.9095730935549549,0.0032156511276264983
114,relu,128,3,100,0.001,CNN,3,128,0.9095128471865007,0.00932645833261911
115,relu,128,5,100,0.01,CNN,12,64,0.9095038090909981,0.01400778567703123
116,relu,128,5,100,0.005,CNN,6,128,0.9094432495071975,0.015439748129356756
117,relu,64,10,100,0.001,CNN,6,64,0.9094358799512712,0.008076263674892935
118,relu,256,10,100,0.001,CNN,12,32,0.9094195032734577,0.010707508395221482
119,relu,128,3,100,0.01,CNN,12,64,0.9094039274487605,0.01568863573929317
120,relu,64,5,100,0.001,CNN,6,32,0.9093998116675513,0.009112873842728653
121,relu,128,10,100,0.001,CNN,6,64,0.9091123946859404,0.007626839717879604
122,relu,128,10,100,0.01,CNN,3,64,0.9091086060140404,0.011667760507490316
123,relu,256,10,100,0.001,CNN,3,128,0.9090514690232343,0.008379958980815855
124,relu,32,10,100,0.001,CNN,3,64,0.9090133888817785,0.022233682147066974
125,relu,128,3,100,0.01,CNN,6,64,0.9087684758472303,0.02132854065724991
126,relu,32,3,100,0.001,CNN,6,128,0.9087504274989713,0.0191577693966372
127,relu,128,3,100,0.001,CNN,3,32,0.9084961178300569,0.017060525419118424
128,relu,128,10,100,0.005,CNN,6,64,0.9084407289663936,0.007439717772271583
129,relu,128,3,100,0.001,CNN,6,32,0.9083723170394377,0.014596616053632534
130,relu,64,3,100,0.001,CNN,3,64,0.9082841742005262,0.006025067599316617
131,relu,256,10,100,0.001,CNN,6,128,0.908105829887409,0.00743444067083766
132,relu,64,10,100,0.01,CNN,12,32,0.9080424309239215,0.013517852800898544
133,relu,128,10,100,0.01,CNN,6,128,0.9079898211933021,0.01624405194566024
134,relu,128,5,100,0.01,CNN,6,64,0.9079678726433699,0.01374425216471872
135,relu,128,10,100,0.005,CNN,3,64,0.9078586572593933,0.019674087679663287
136,relu,256,10,100,0.01,CNN,6,64,0.9077627243882049,0.014338276706953354
137,relu,128,5,100,0.001,CNN,3,64,0.9077173182940733,0.014427532944108762
138,relu,256,5,100,0.001,CNN,6,128,0.9077025860932578,0.006811989095104091
139,relu,256,3,100,0.005,CNN,12,64,0.9076066116841965,0.00823773520481245
140,relu,256,5,100,0.01,CNN,12,64,0.9075364824551176,0.013326276264822525
141,relu,256,5,100,0.005,CNN,3,128,0.9075217367576626,0.014632285442896886
142,relu,256,5,100,0.001,CNN,6,32,0.9074938184262225,0.0095375300375896
143,relu,64,3,100,0.005,CNN,6,64,0.9074893468946068,0.007478226428429075
144,relu,128,3,100,0.005,CNN,6,32,0.9074170769901017,0.010259685269000703
145,relu,64,10,100,0.001,CNN,3,128,0.9074107724658473,0.012873823724202841
146,relu,256,5,100,0.001,CNN,12,128,0.9074080903227116,0.005539519397957097
147,relu,256,5,100,0.005,CNN,3,64,0.9073149998299023,0.016455300134998622
148,relu,128,3,100,0.005,CNN,6,128,0.907077648408022,0.015127997839053225
149,relu,64,10,100,0.001,CNN,12,128,0.907029532252237,0.01061168429598697
150,relu,128,10,100,0.01,CNN,3,128,0.9069255368509866,0.015129888801465676
151,relu,128,10,100,0.005,CNN,3,32,0.9068693476423482,0.006927812724128853
152,relu,256,10,100,0.005,CNN,3,64,0.9068216998502896,0.009481384900962822
153,relu,32,5,100,0.005,CNN,6,64,0.9067473158138862,0.008344818377356528
154,relu,64,10,100,0.005,CNN,6,128,0.9067057182098316,0.004579353129070398
155,relu,32,5,100,0.005,CNN,12,128,0.9067003829032892,0.0031417161908741994
156,relu,256,3,100,0.001,CNN,12,32,0.9066312422501445,0.009054506320548644
157,relu,32,3,100,0.001,CNN,12,128,0.9066010998439592,0.015831909680431498
158,relu,32,3,100,0.005,CNN,6,32,0.9065735066485766,0.005791162255404235
159,relu,128,10,100,0.001,CNN,6,32,0.9064136529817478,0.009505361958980555
160,relu,256,10,100,0.01,CNN,12,128,0.9064051216411103,0.008922931910603895
161,relu,64,5,100,0.001,CNN,3,32,0.9063725532107907,0.007508810893800928
162,relu,256,5,100,0.01,CNN,12,128,0.9063716649670172,0.019833037852049214
163,relu,128,5,100,0.01,CNN,12,32,0.9063488983295546,0.006751611687556897
164,relu,64,10,100,0.01,CNN,3,128,0.9062610514580675,0.00502926840119727
165,relu,256,3,100,0.001,CNN,3,64,0.9062518274710212,0.020875413314526612
166,relu,64,5,100,0.005,CNN,3,128,0.9060811997435291,0.012403016157397981
167,relu,256,10,100,0.001,CNN,3,32,0.905919925973742,0.013399713446775154
168,relu,256,3,100,0.005,CNN,6,128,0.9059194794488561,0.014688329376456852
169,relu,128,5,100,0.01,CNN,6,32,0.9057359329500693,0.008039600215163197
170,relu,32,3,100,0.001,CNN,12,64,0.9056911437468256,0.015435724773448683
171,relu,64,3,100,0.005,CNN,12,128,0.9056577883360825,0.0193545045957613
172,relu,32,10,100,0.001,CNN,6,32,0.9056011871560853,0.004401593989614206
173,relu,256,5,100,0.001,CNN,6,64,0.9054826856570518,0.008861600281344018
174,relu,256,10,100,0.005,CNN,12,128,0.9054519770220176,0.0026037707036480427
175,relu,256,5,100,0.01,CNN,12,32,0.9054095516954237,0.005038806046316163
176,relu,128,5,100,0.005,CNN,6,64,0.905376914689959,0.0025628693077443293
177,relu,64,10,100,0.005,CNN,12,32,0.9053635372557046,0.012484462601973258
178,relu,256,5,100,0.001,CNN,3,64,0.9053626403428522,0.011806270055069616
179,relu,128,10,100,0.005,CNN,6,128,0.905324874606165,0.008393748999771949
180,relu,128,3,100,0.001,CNN,6,64,0.9052027791773591,0.01095409375819721
181,relu,32,10,100,0.01,CNN,3,32,0.9051593466627078,0.010026335489677112
182,relu,64,5,100,0.01,CNN,12,64,0.9051456084636151,0.01616251828213747
183,relu,256,10,100,0.01,CNN,12,32,0.9049404741376815,0.011624418960013554
184,relu,32,5,100,0.001,CNN,6,128,0.9048718570994844,0.00220347464294129
185,relu,256,10,100,0.005,CNN,3,128,0.9044072232577189,0.012929493397288522
186,relu,64,3,100,0.005,CNN,3,32,0.9043209738167088,0.014363888566035503
187,relu,64,5,100,0.005,CNN,12,32,0.9043164412874855,0.019953063216191946
188,relu,256,3,100,0.001,CNN,6,32,0.9042373006388176,0.01961389757512097
189,relu,128,3,100,0.01,CNN,12,128,0.9042327247103654,0.00523657159332234
190,relu,256,3,100,0.001,CNN,3,128,0.9039231721608189,0.01697401484157856
191,relu,64,5,100,0.01,CNN,3,64,0.9037959616543882,0.015496360615007155
192,relu,32,5,100,0.005,CNN,6,128,0.9035619465014313,0.026542343833896302
193,relu,32,3,100,0.005,CNN,3,64,0.9031682575323989,0.009832863111399057
194,relu,256,3,100,0.005,CNN,6,32,0.9031045363752783,0.011692221744651805
195,relu,256,5,100,0.005,CNN,6,128,0.9030142293583946,0.020489662378398676
196,relu,64,10,100,0.01,CNN,3,64,0.9030098580896136,0.025646869307311217
197,relu,32,10,100,0.005,CNN,12,128,0.9028886392595826,0.006447351601715806
198,relu,32,5,100,0.001,CNN,3,64,0.9027974360456094,0.003388286548507209
199,relu,64,10,100,0.01,CNN,12,128,0.9026539712719138,0.017520353772815536
200,relu,32,10,100,0.001,CNN,3,32,0.9026482371435159,0.01593560566006115
201,relu,32,5,100,0.005,CNN,12,64,0.9026469201876869,0.026526886227822784
202,relu,32,3,100,0.005,CNN,12,128,0.902625858698487,0.0044047409462091335
203,relu,64,5,100,0.01,CNN,12,128,0.9026084291321848,0.022551419146989042
204,relu,256,3,100,0.01,CNN,6,128,0.9025862873248834,0.025024572398613266
205,relu,256,3,100,0.005,CNN,3,64,0.9025362849206126,0.009448933277946634
206,relu,64,3,100,0.001,CNN,12,32,0.9025116299725277,0.0127733404856759
207,relu,64,3,100,0.001,CNN,12,64,0.9024216799247182,0.007520069331117767
208,relu,32,3,100,0.01,CNN,3,128,0.9022938922374731,0.010403044418782146
209,relu,64,3,100,0.005,CNN,6,32,0.9021282824477476,0.01846241469364387
210,relu,64,10,100,0.001,CNN,3,64,0.9020483482370373,0.0100087283153044
211,relu,32,3,100,0.005,CNN,3,32,0.9020114804372305,0.004744856236044572
212,relu,128,10,100,0.005,CNN,12,128,0.9019630563804766,0.016372483147962337
213,relu,64,3,100,0.005,CNN,12,64,0.901947135043586,0.007699559080039205
214,relu,32,3,100,0.01,CNN,6,64,0.9017930293957299,0.01080169637851178
215,relu,256,5,100,0.001,CNN,3,32,0.901725764032793,0.011107914575098186
216,relu,128,5,100,0.001,CNN,3,128,0.9014676539021472,0.00730879521005299
217,relu,256,3,100,0.005,CNN,3,32,0.9014139694330948,0.013656755788181499
218,relu,64,5,100,0.005,CNN,3,32,0.9014046520418062,0.007744869029590346
219,relu,256,3,100,0.01,CNN,6,32,0.9013757340971996,0.016782967141900626
220,relu,64,10,100,0.001,CNN,3,32,0.9010213743316791,0.017530378329624386
221,relu,256,5,100,0.01,CNN,3,128,0.9008680627263622,0.01904476326349526
222,relu,64,5,100,0.001,CNN,3,64,0.9006531447754244,0.03291113866003812
223,relu,128,3,100,0.005,CNN,12,32,0.900431926069663,0.02359667922923992
224,relu,128,3,100,0.005,CNN,3,128,0.9002235395188256,0.009029853747438974
225,relu,64,5,100,0.01,CNN,3,128,0.8999767987804518,0.004340093831582899
226,relu,256,5,100,0.01,CNN,6,64,0.8996886066852047,0.034891661146640114
227,relu,128,3,100,0.01,CNN,3,128,0.8996347191733611,0.010589407720165063
228,relu,64,3,100,0.001,CNN,6,128,0.8994524012454335,0.010293721850827168
229,relu,256,5,100,0.005,CNN,3,32,0.8993314144792723,0.005506274153434514
230,relu,256,3,100,0.01,CNN,12,64,0.8988567982884247,0.015189394377891683
231,relu,256,10,100,0.001,CNN,3,64,0.8988131881795632,0.011587973127302276
232,relu,64,5,100,0.01,CNN,3,32,0.8987441821945644,0.004923916794072779
233,relu,128,3,100,0.001,CNN,3,64,0.8987144835422168,0.017680460331693612
234,relu,256,10,100,0.01,CNN,3,128,0.898671960488767,0.015936310913120363
235,relu,256,3,100,0.001,CNN,3,32,0.8986600724978987,0.016894238725573305
236,relu,128,3,100,0.005,CNN,12,64,0.8985301000456368,0.019535242511763286
237,relu,32,3,100,0.01,CNN,3,32,0.8983247653209073,0.018490297066003712
238,relu,128,10,100,0.005,CNN,3,128,0.8979297137949619,0.012512461825061424
239,relu,32,10,100,0.005,CNN,6,64,0.8976559054328347,0.008335047354405576
240,relu,64,10,100,0.01,CNN,6,128,0.8973943164866606,0.00835611433023922
241,relu,32,5,100,0.01,CNN,3,32,0.8973698127811245,0.010373026522524052
242,relu,64,5,100,0.001,CNN,3,128,0.8973078134948406,0.02484265705833462
243,relu,32,3,100,0.001,CNN,3,32,0.8968874007052258,0.008796628953360516
244,relu,32,5,100,0.005,CNN,3,32,0.8968572178571134,0.02532343265322044
245,relu,256,10,100,0.01,CNN,3,32,0.8966428400327553,0.013902949916696892
246,relu,128,5,100,0.01,CNN,6,128,0.8965617030281873,0.025523904764396164
247,relu,128,5,100,0.01,CNN,3,64,0.8964140664981836,0.014410417410951231
248,relu,256,5,100,0.01,CNN,3,64,0.8962638656244583,0.009625114246310318
249,relu,64,10,100,0.005,CNN,3,64,0.8956410337252523,0.018248242603886286
250,relu,256,3,100,0.01,CNN,12,128,0.8955990316966277,0.016233965579727623
251,relu,128,10,100,0.001,CNN,3,32,0.8952938878013752,0.029336194454551996
252,relu,256,5,100,0.01,CNN,6,32,0.8952610984482897,0.011769967341334045
253,relu,64,3,100,0.001,CNN,3,128,0.8951831181981662,0.017279653917079703
254,relu,256,10,100,0.01,CNN,6,128,0.8951162412039627,0.011670823402557165
255,relu,64,5,100,0.005,CNN,6,32,0.8950237478228593,0.0073661281462018245
256,relu,64,5,100,0.01,CNN,6,128,0.8948714810528443,0.015946568727582336
257,relu,256,3,100,0.01,CNN,3,128,0.8946574092752013,0.007606535444259071
258,relu,32,3,100,0.001,CNN,3,64,0.8945806502406803,0.006020328333144597
259,relu,32,3,100,0.01,CNN,6,32,0.8944973044628911,0.00515875008491869
260,relu,256,5,100,0.005,CNN,12,64,0.8944760693113762,0.018472795832255494
261,relu,64,3,100,0.005,CNN,3,64,0.8942612001613329,0.0035912350740486894
262,relu,256,5,100,0.001,CNN,3,128,0.8940434620677601,0.01054730904914345
263,relu,128,3,100,0.01,CNN,6,32,0.8933679428647774,0.012670404282670893
264,relu,32,5,100,0.01,CNN,6,64,0.8932613498908499,0.005094398468431437
265,relu,32,3,100,0.01,CNN,6,128,0.892746697619518,0.0245214212300492
266,relu,64,3,100,0.01,CNN,12,128,0.8926915723835821,0.015595352565044643
267,relu,32,3,100,0.005,CNN,6,64,0.8924167608842627,0.02532040631947749
268,relu,256,5,100,0.01,CNN,3,32,0.8923868226911771,0.02293785616289716
269,relu,64,3,100,0.01,CNN,6,128,0.8921106118848124,0.01680826194812832
270,relu,64,5,100,0.005,CNN,3,64,0.8920024974248023,0.01174954813762927
271,relu,32,3,100,0.001,CNN,6,64,0.8919339455856923,0.029712259563106972
272,relu,64,10,100,0.001,CNN,6,32,0.8917029186612808,0.014356090839879963
273,relu,256,3,100,0.01,CNN,6,64,0.8915509809379638,0.0034400532384808477
274,relu,32,5,100,0.01,CNN,3,128,0.8908482502169089,0.03264611576037842
275,relu,32,5,100,0.005,CNN,3,128,0.8905748553060486,0.026067786345695447
276,relu,128,10,100,0.01,CNN,3,32,0.8901927882818117,0.021779795751685167
277,relu,64,10,100,0.005,CNN,6,64,0.8899083410251518,0.02473349045170248
278,relu,256,10,100,0.01,CNN,3,64,0.8895929167601547,0.012973082817234203
279,relu,128,5,100,0.005,CNN,3,64,0.8894984203596241,0.02715805959126063
280,relu,32,3,100,0.005,CNN,3,128,0.8894474976152695,0.01452874560760077
281,relu,128,3,100,0.01,CNN,3,64,0.8891079704091588,0.0068821698095966775
282,relu,64,3,100,0.01,CNN,3,32,0.8890811081555783,0.004825282298387168
283,relu,64,3,100,0.01,CNN,3,64,0.8889150680604878,0.019807310911808696
284,relu,32,5,100,0.001,CNN,3,128,0.8886477823903185,0.016888596660963283
285,relu,32,10,100,0.005,CNN,3,128,0.8881687523087902,0.014046846146927174
286,relu,32,10,100,0.005,CNN,6,128,0.8881458688319661,0.01901108199146043
287,relu,32,3,100,0.005,CNN,6,128,0.887514400807046,0.00903840267887941
288,relu,256,10,100,0.01,CNN,6,32,0.8861501757188259,0.023244503884530945
289,relu,32,5,100,0.005,CNN,3,64,0.8854987266417621,0.02377587366903348
290,relu,64,5,100,0.01,CNN,12,32,0.8849159522163821,0.03893427983742781
291,relu,64,3,100,0.01,CNN,3,128,0.8847550871753406,0.005464017369640604
292,relu,32,5,100,0.005,CNN,6,32,0.8842071038733398,0.01228828152668993
293,relu,128,5,100,0.005,CNN,3,32,0.884085772436625,0.02719388375189022
294,relu,128,5,100,0.01,CNN,3,128,0.8822973535077848,0.045984722806336246
295,relu,32,10,100,0.01,CNN,12,64,0.8818598045156315,0.04106713826742494
296,relu,32,5,100,0.01,CNN,6,128,0.8814229046611386,0.027176045758586276
297,relu,64,5,100,0.01,CNN,6,32,0.8806741776113491,0.039482609334937906
298,relu,32,10,100,0.01,CNN,3,128,0.8801786321029472,0.01042577660563063
299,relu,256,5,100,0.01,CNN,6,128,0.8800855553076471,0.04387312299914405
300,relu,32,5,100,0.001,CNN,3,32,0.8784808583267063,0.02412050835474278
301,relu,32,3,100,0.01,CNN,3,64,0.8776903184057847,0.013351594527307827
302,relu,128,10,100,0.01,CNN,12,128,0.8764824608569374,0.043949554967166
303,relu,128,5,100,0.01,CNN,3,32,0.8743910619116265,0.0161381419724012
304,relu,32,10,100,0.01,CNN,6,32,0.8738754097354265,0.028732119880513936
305,relu,32,3,100,0.01,CNN,12,128,0.8713905977261437,0.067673651397858
306,relu,64,3,100,0.005,CNN,3,128,0.8702243999915614,0.017248350433875757
307,relu,32,3,100,0.01,CNN,12,64,0.8675109015213557,0.03920438975800267
308,relu,64,3,100,0.01,CNN,6,64,0.8673750981553217,0.0680430995297994
309,relu,128,10,100,0.01,CNN,6,64,0.8545613500158687,0.013183065751779003
310,relu,64,3,100,0.01,CNN,12,64,0.8521364191159214,0.052371397269640546
311,relu,64,10,100,0.01,CNN,3,32,0.8485006988771332,0.06128710827710638
312,relu,64,10,100,0.01,CNN,6,32,0.8460621316790592,0.0900881244483065
313,relu,32,10,100,0.01,CNN,12,32,0.84180659986805,0.1114088409619333
314,relu,256,3,100,0.01,CNN,12,32,0.8377339089676838,0.0913442592329571
315,relu,32,10,100,0.01,CNN,6,128,0.8309194496585134,0.07878524348660483
316,relu,32,5,100,0.01,CNN,12,32,0.8294986908195544,0.04435557672232995
317,relu,32,5,100,0.01,CNN,6,32,0.8269272861364018,0.06341584003150928
318,relu,32,5,100,0.01,CNN,3,64,0.8225333336699615,0.07255478855572711
319,relu,32,3,100,0.01,CNN,12,32,0.8173661749103864,0.07678188463654025
320,relu,32,10,100,0.01,CNN,3,64,0.780897741974369,0.16992106321070363
321,relu,32,5,100,0.01,CNN,12,64,0.7349025528811969,0.23639089287225318
322,relu,32,10,100,0.01,CNN,12,128,0.48280041258155443,0.30605597864489087
323,relu,32,5,100,0.01,CNN,12,128,0.4642299786995094,0.3142017326683673
